STW,CHs,CHdg,CTz,windU,windV,Heading,Power,Draft,Speed,Power
7.411291004,2.694100213,257.3719777,7.48449715,9.122852087,5.282943382,270.0253657,8689.002183,9.15,407.0817178,1737.800437
7.385926667,2.697423679,257.3155805,7.506601832,9.101473797,5.287353758,270.0253657,8745.201667,9.15,402.9164269,1749.040333
7.4662588,2.70047974,257.259029,7.528678112,9.073677116,5.299444598,270.0190243,8621.085,9.15,416.2067496,1724.217
7.440453067,2.702176982,257.2003203,7.5473391,9.038683236,5.319852882,291.0477354,8660.108333,9.15,411.9060252,1732.021667
7.475374157,2.700384327,257.0513924,7.571833169,8.979996023,5.329993139,270.019029,8615.597663,9.15,417.7330188,1723.119533
7.438309733,2.701636079,256.9926596,7.590589368,8.933984559,5.363018297,270.025372,8664.193333,9.15,411.5501607,1732.838667
7.458714267,2.703683003,256.9355949,7.612734266,8.881623009,5.403790069,270.025372,8691.258333,9.15,414.9463136,1738.251667
7.356005733,2.706056972,256.825691,7.63029202,8.902355134,5.426727478,297.1583441,8823.218333,9.15,398.0395047,1764.643667
7.338258933,2.703074605,256.6313131,7.647537503,8.902776841,5.429062947,270.0253783,8822.078333,9.15,395.1655677,1764.415667
7.387212667,2.705128588,256.5244191,7.664790924,8.918618993,5.445263844,270.0253783,8778.043333,9.15,403.1269248,1755.608667
7.3602924,2.707020678,256.4191525,7.681822986,8.931802623,5.457694914,270.0190337,8834.488333,9.15,398.7357755,1766.897667
7.3618356,2.708022625,256.3207858,7.69559735,8.945651482,5.466346934,270.0253783,8814.208333,9.15,398.9866316,1762.841667
7.320855067,2.709611216,256.2185736,7.712214194,8.953849559,5.471709362,297.1663393,8843.586667,9.15,392.3606336,1768.717333
7.240265733,2.705356866,256.0577967,7.727929778,8.923248885,5.408285785,270.0253846,8971.773333,9.15,379.5452128,1794.354667
7.226396718,2.706345325,255.9900579,7.7436586,8.92494103,5.341828289,270.0190385,8959.605128,9.15,377.3682866,1791.921026
7.241754694,2.706275767,255.9313092,7.75699609,8.938541153,5.247780633,270.0253846,8945.39966,9.15,379.7794214,1789.079932
